# PhyPiDAQ Data recorder  190315-1559
#   logging interval 0.1
# 0:U(V),1:U(V)
-0.0005,-0.000375
-0.000625,-0.0005
-0.0005,-0.0005
-0.0005,-0.0005
-0.000625,-0.0005
-0.0005,-0.0005
-0.000625,-0.0005
-0.000625,-0.000375
-0.0005,-0.0005
-0.000625,-0.0005
3.219,0.04
3.219,0.319
-0.000375,0.3071
-0.0005,0.279
-0.000625,0.2538
-0.0005,0.2311
-0.0005,0.2106
-0.000625,0.1921
-0.000375,0.1751
3.219,0.4433
-0.000375,0.5448
-0.000375,0.4946
-0.0005,0.4503
-0.0005,0.4103
-0.0005,0.3738
-0.0005,0.341
-0.000625,0.3113
-0.0005,0.284
3.219,0.2743
3.219,0.5351
3.22,0.7693
3.22,0.9818
3.22,1.175
3.22,1.351
3.219,1.508
3.22,1.658
3.22,1.791
3.22,1.913
3.22,2.024
3.22,2.126
3.22,2.218
3.22,2.303
3.22,2.38
0,2.193
0,2
-0.000125,1.824
-0.000125,1.665
-0.000125,1.519
-0.00025,1.387
-0.00025,1.267
-0.000375,1.157
-0.00025,1.058
-0.00025,0.9663
-0.000375,0.8832
-0.000375,0.8074
-0.000375,0.7371
-0.0005,0.675
-0.0005,0.6171
-0.00025,0.5644
3.219,0.7841
3.219,0.9978
3.219,1.191
3.219,1.367
-0.000125,1.403
-0.00025,1.277
-0.00025,1.167
-0.000375,1.063
3.219,1.119
3.219,1.304
3.22,1.471
3.22,1.622
3.22,1.76
3.22,1.886
3.219,2
0,1.851
0,1.688
-0.000125,1.54
3.219,1.656
3.22,1.793
3.22,1.916
3.22,2.029
3.22,2.131
3.22,2.225
0.000125,2.154
0,1.964
0,1.792
0,1.635
-0.000125,1.492
-0.000125,1.362
-0.000125,1.245
-0.00025,1.138
3.219,1.158
3.219,1.341
3.22,1.506
3.22,1.656
3.22,1.791
3.219,1.914
0,1.752
0,1.594
-0.000125,1.454
-0.00025,1.327
-0.00025,1.208
-0.000125,1.108
-0.000375,1.012
-0.000375,0.9245
-0.000375,0.8453
-0.0005,0.7725
3.219,0.917
3.219,1.12
3.219,1.305
3.219,1.472
-0.000125,1.468
-0.000125,1.34
-0.00025,1.222
-0.000375,1.116
-0.00025,1.018
-0.00025,0.9309
-0.0005,0.8505
-0.000375,0.7774
-0.0005,0.7091
3.219,0.6985
3.219,0.9223
3.219,1.123
3.219,1.305
3.22,1.471
3.219,1.622
3.22,1.76
3.219,1.886
3.219,2
3.219,2.104
3.219,2.197
3.22,2.286
3.219,2.366
3.22,2.439
3.22,2.504
3.22,2.565
3.219,2.62
3.219,2.671
3.22,2.717
3.219,2.759
3.22,2.797
3.22,2.832
3.22,2.865
3.22,2.894
3.22,2.921
3.22,2.945
3.22,2.968
3.22,2.989
3.22,3.007
3.22,3.025
3.22,3.041
3.22,3.055
3.22,3.068
3.22,3.081
3.22,3.091
3.22,3.102
3.22,3.111
3.22,3.119
3.22,3.127
3.22,3.134
3.22,3.141
3.219,3.147
3.22,3.152
3.22,3.158
3.22,3.162
0.000375,3.009
0.00025,2.746
0.000125,2.507
0.000125,2.287
0.000125,2.09
0,1.91
0,1.745
-0.000125,1.595
-0.000125,1.458
-0.00025,1.334
-0.000125,1.22
-0.000375,1.115
-0.00025,1.021
-0.000375,0.9338
-0.000375,0.8543
-0.00025,0.782
-0.0005,0.7161
-0.000375,0.6556
-0.0005,0.6001
-0.0005,0.55
-0.000375,0.504
-0.0005,0.4614
-0.0005,0.4229
-0.000375,0.3876
-0.0005,0.3553
3.219,0.3885
3.219,0.6393
3.219,0.8648
3.219,1.07
3.219,1.257
3.219,1.422
3.219,1.58
3.219,1.722
3.219,1.851
3.219,1.969
3.22,2.075
3.22,2.173
3.22,2.262
3.22,2.344
3.219,2.418
3.219,2.486
3.22,2.548
0.00025,2.514
0.000125,2.29
0.000125,2.089
0,1.907
0,1.741
-0.000125,1.59
-0.000375,1.453
-0.000125,1.326
-0.00025,1.214
-0.000375,1.109
-0.000375,1.014
-0.00025,0.9269
-0.000375,0.848
-0.000375,0.7756
-0.000375,0.7096
-0.000375,0.6494
-0.0005,0.5943
3.219,0.7503
3.219,0.9678
3.219,1.164
3.219,1.343
3.219,1.507
3.219,1.651
3.219,1.789
3.219,1.912
3.219,2.024
3.219,2.127
3.22,2.22
3.22,2.305
3.22,2.383
3.22,2.454
3.219,2.519
3.219,2.578
3.219,2.633
0.00025,2.615
0.00025,2.383
0,2.174
0,1.983
0,1.812
0,1.655
-0.000125,1.512
-0.00025,1.382
-0.00025,1.263
-0.00025,1.154
-0.00025,1.055
-0.000375,0.9649
-0.000375,0.8827
-0.0005,0.8074
-0.000375,0.7388
-0.00025,0.6759
-0.000375,0.6185
-0.0005,0.566
-0.0005,0.518
-0.000375,0.4755
-0.0005,0.4345
-0.0005,0.398
-0.0005,0.3648
-0.0005,0.334
-0.0005,0.306
-0.0005,0.2806
-0.0005,0.2571
-0.000375,0.2359
-0.0005,0.2164
-0.0005,0.1984
-0.0005,0.1821
-0.0005,0.167
-0.0005,0.1523
-0.0005,0.1408
-0.000625,0.1294
-0.000625,0.1184
-0.0005,0.1076
-0.0005,0.1003
-0.0005,0.09225
-0.0005,0.08475
-0.000625,0.078
-0.000625,0.07188
-0.0005,0.066
-0.0005,0.06075
-0.000625,0.056
-0.0005,0.05138
-0.0005,0.04763
-0.0005,0.04413
-0.000625,0.04075
-0.000625,0.0375
-0.00075,0.03463
-0.000625,0.032
-0.000625,0.02963
-0.0005,0.02738
-0.000625,0.02525
-0.000625,0.0235
-0.000625,0.02175
-0.000625,0.02025
-0.00075,0.01863
-0.000625,0.01738
-0.000625,0.01613
-0.000625,0.01513
-0.000625,0.01375
-0.000625,0.013
-0.000625,0.01213
-0.000625,0.01138
-0.0005,0.0105
-0.0005,0.00975
