# PhyPiDAQ Data recorder  190317-1419
#   logging interval 0.1
# 0:U(V),1:U(V)
-0.000125,0.00075
-0.000125,0.000625
-0.000125,0.00075
-0.00025,0.00075
-0.000125,0.00075
-0.000125,0.000875
-0.00025,0.00075
0,0.000625
-0.000125,0.00075
-0.000125,0.00075
3.221,0.2703
3.221,0.5271
3.221,0.7608
3.221,0.9733
3.221,1.167
3.221,1.343
3.221,1.505
3.22,1.653
3.22,1.782
3.221,1.904
3.221,2.016
3.22,2.119
3.221,2.211
3.221,2.296
3.221,2.375
3.221,2.447
3.221,2.512
3.221,2.571
3.221,2.626
3.221,2.675
3.221,2.721
3.221,2.762
3.221,2.8
3.221,2.835
3.221,2.867
3.221,2.896
3.221,2.923
3.221,2.947
3.221,2.969
3.221,2.989
3.221,3.008
3.221,3.025
3.221,3.041
3.221,3.055
3.221,3.068
3.221,3.08
3.221,3.091
3.221,3.102
3.221,3.111
3.221,3.119
3.221,3.127
3.221,3.134
3.221,3.141
3.221,3.147
3.221,3.152
3.221,3.157
3.221,3.162
3.221,3.166
3.221,3.17
3.221,3.174
3.221,3.177
3.221,3.18
3.221,3.183
3.221,3.186
3.221,3.188
0.000875,3.071
0.00075,2.801
0.00075,2.558
0.000625,2.331
0.0005,2.129
0.000625,1.95
0.0005,1.783
0.000375,1.63
0.0005,1.49
0.00025,1.363
0.00025,1.238
0.000375,1.141
0.00025,1.042
0.000125,0.9535
0.000125,0.8745
0.000125,0.8008
0.000125,0.733
0,0.6713
0,0.6146
0,0.5631
0.000125,0.5159
0,0.4716
0,0.4323
0,0.3971
0,0.3633
0,0.3331
0,0.3055
0,0.2803
-0.000125,0.2571
-0.000125,0.236
0,0.2138
-0.000125,0.1986
-0.000125,0.1825
-0.000125,0.1676
-0.000125,0.1541
0,0.1416
0,0.1301
0,0.1198
-0.000125,0.1101
-0.00025,0.1013
-0.000125,0.09325
-0.000125,0.086
-0.000125,0.07913
-0.000125,0.073
-0.000125,0.06725
-0.00025,0.062
-0.000125,0.05738
-0.000125,0.05288
0,0.04888
-0.000125,0.04513
-0.000125,0.04175
0,0.03863
-0.000125,0.03563
-0.000125,0.03313
-0.000125,0.03075
3.22,0.06513
3.22,0.3433
3.22,0.5939
3.22,0.8215
3.221,1.034
3.22,1.218
3.22,1.39
3.22,1.547
3.221,1.694
3.221,1.824
3.221,1.943
3.221,2.052
3.221,2.151
3.221,2.242
3.221,2.324
3.221,2.4
3.221,2.469
0.0005,2.283
0.00075,2.082
0.000375,1.9
0.000375,1.734
0.000375,1.583
0.000375,1.447
0.00025,1.322
0.00025,1.208
0.000125,1.104
0.00025,1.009
0,0.9224
0.000125,0.8434
0,0.7714
0,0.7056
0.000125,0.6454
0,0.5906
3.221,0.795
3.221,1.008
3.22,1.196
3.221,1.377
3.221,1.535
3.221,1.681
3.221,1.813
3.221,1.934
3.221,2.044
3.221,2.145
3.221,2.236
3.221,2.32
3.221,2.397
3.221,2.466
3.221,2.53
3.221,2.589
3.221,2.642
3.221,2.691
0.000625,2.505
0.000625,2.285
0.0005,2.086
0.0005,1.905
0.000375,1.739
0.000375,1.589
0.00025,1.452
0.00025,1.327
0.00025,1.213
0.00025,1.109
0.00025,1.014
0.000125,0.9278
0.00025,0.8487
0,0.7764
0.000125,0.7106
0,0.6518
0,0.595
0,0.5448
-0.000125,0.4988
0,0.4568
3.221,0.5055
3.221,0.7455
3.221,0.9617
3.221,1.158
3.221,1.337
3.221,1.5
3.221,1.648
3.221,1.783
3.221,1.907
3.221,2.019
3.221,2.122
3.221,2.216
3.221,2.301
3.221,2.379
3.221,2.451
3.221,2.516
3.221,2.575
3.221,2.63
3.221,2.68
3.221,2.725
3.221,2.766
3.221,2.804
0.00075,2.67
0.000625,2.435
0.0005,2.222
0.0005,2.029
0.0005,1.855
0.00025,1.694
0.000375,1.548
0.000375,1.415
0.00025,1.293
0.000375,1.182
0.00025,1.081
0.000125,0.9889
0.000125,0.9048
0.000125,0.8278
0.000125,0.7573
0.000125,0.6933
0.000125,0.6345
0,0.581
3.221,0.5869
3.22,0.8207
3.221,1.031
3.221,1.222
3.221,1.395
3.221,1.553
3.221,1.697
3.221,1.828
3.221,1.948
0.0005,2.014
0.0005,1.834
0.000375,1.673
0.000375,1.526
0.00025,1.394
0.00025,1.273
0.000125,1.163
0.000125,1.063
0.00025,0.9714
0.00025,0.89
0.00025,0.8139
0.000125,0.7429
3.221,0.9619
3.221,1.16
3.221,1.339
3.221,1.502
3.221,1.651
3.221,1.786
3.221,1.91
3.221,2.022
3.221,2.125
3.221,2.219
3.221,2.304
3.221,2.382
0.000625,2.27
0.0005,2.07
0.0005,1.889
0.000375,1.725
0.000375,1.575
0.000375,1.439
0.00025,1.315
0.00025,1.202
0.00025,1.098
0.00025,1.004
3.221,1.115
3.221,1.3
3.221,1.468
3.221,1.621
3.221,1.76
3.221,1.886
3.221,2.001
3.22,2.103
3.221,2.201
3.221,2.288
3.221,2.368
3.221,2.441
0.000625,2.411
0.0005,2.198
0.0005,2.006
0.0005,1.831
0.000375,1.672
0.000375,1.528
0.00025,1.396
0.00025,1.275
0.00025,1.166
0.000125,1.066
0.000125,0.9749
0.000125,0.8918
3.22,0.8928
3.22,1.099
3.221,1.285
3.221,1.454
3.221,1.607
3.221,1.747
3.221,1.874
3.221,1.99
3.221,2.096
3.221,2.192
3.221,2.28
0.0005,2.242
0.000625,2.049
0.0005,1.869
0.000375,1.706
0.0005,1.555
0.000375,1.42
0.000375,1.298
0.000125,1.186
0.000125,1.084
0.000125,0.9913
0.000125,0.9067
0.000125,0.8292
0.000125,0.7586
0.000125,0.6941
0,0.6353
3.22,0.8218
3.22,1.032
3.22,1.223
3.221,1.397
3.221,1.555
3.221,1.699
3.221,1.83
3.221,1.949
3.221,2.058
3.221,2.157
3.221,2.249
3.221,2.331
3.221,2.407
3.221,2.476
3.221,2.544
3.221,2.597
3.221,2.649
3.221,2.697
3.221,2.741
3.221,2.782
3.221,2.82
3.221,2.852
3.221,2.883
3.221,2.911
3.22,2.936
3.221,2.96
3.221,2.981
3.221,3.001
3.221,3.019
3.221,3.036
3.221,3.051
3.221,3.065
3.221,3.077
3.221,3.089
3.221,3.099
3.221,3.109
3.221,3.118
3.221,3.126
3.221,3.133
3.221,3.14
3.221,3.147
3.221,3.152
3.221,3.157
3.221,3.162
3.221,3.167
3.221,3.171
3.221,3.174
3.221,3.178
3.221,3.181
3.221,3.184
0.000875,2.981
0.00075,2.72
0.00075,2.484
0.000625,2.274
0.0005,2.078
0.000625,1.899
0.000375,1.736
0.0005,1.584
0.000375,1.448
0.00025,1.327
0.00025,1.212
0.00025,1.109
0.00025,1.015
0.000125,0.9289
0.000125,0.8503
0.000125,0.7785
0.000125,0.7128
0.000125,0.6528
0,0.5981
0,0.548
0.000125,0.5021
0,0.4601
0,0.422
0,0.3871
-0.000125,0.355
0,0.3256
0,0.2986
-0.000125,0.2743
0,0.2516
-0.000125,0.231
-0.000125,0.2121
0,0.1946
-0.000125,0.1789
-0.000125,0.1644
-0.000125,0.1511
0,0.139
-0.000125,0.128
-0.000125,0.1178
-0.000125,0.1085
-0.000125,0.1
-0.000125,0.092
-0.000125,0.08475
-0.000125,0.07825
-0.00025,0.07213
-0.00025,0.0665
-0.000125,0.0615
-0.000125,0.05675
-0.000125,0.0525
-0.000125,0.0485
-0.000125,0.04488
-0.000125,0.04163
0,0.0385
-0.000125,0.03575
0,0.03313
-0.000125,0.03075
-0.000125,0.02875
-0.00025,0.0265
-0.000125,0.02475
0,0.023
-0.000125,0.02138
-0.00025,0.02013
-0.00025,0.01875
-0.000125,0.0175
-0.00025,0.01625
-0.000125,0.01538
-0.000125,0.0145
0,0.0135
-0.00025,0.01263
-0.000125,0.01188
-0.000125,0.01113
